Date,Open,High,Low,Close,Volume
01/01/2015,8272.8,8294.7,8248.75,8284,56560411
02/01/2015,8288.7,8410.6,8288.7,8395.45,101887024
05/01/2015,8407.95,8445.6,8363.9,8378.4,118160545
06/01/2015,8325.3,8327.85,8111.35,8127.35,172799618
07/01/2015,8118.65,8151.2,8065.45,8102.1,164075424
08/01/2015,8191.4,8243.5,8167.3,8234.6,143802802
09/01/2015,8285.45,8303.3,8190.8,8284.5,152612528
12/01/2015,8291.35,8332.6,8245.6,8323,103153908
13/01/2015,8346.15,8356.65,8267.9,8299.4,129561892
14/01/2015,8307.25,8326.45,8236.65,8277.55,150621631
15/01/2015,8424.5,8527.1,8380.55,8494.15,232138802
16/01/2015,8504.05,8530.75,8452.25,8513.8,181365905
19/01/2015,8550.05,8570.95,8531.5,8550.7,129346422
20/01/2015,8575.1,8707.9,8574.5,8695.6,158713840
21/01/2015,8719.65,8741.85,8689.6,8729.5,191651012
22/01/2015,8745.85,8774.15,8727,8761.4,180912372
23/01/2015,8827.95,8866.4,8795.4,8835.6,197124706
27/01/2015,8871.35,8925.05,8825.45,8910.5,192010521
28/01/2015,8902.75,8985.05,8874.05,8914.3,190805926
29/01/2015,8901.5,8966.65,8861.25,8952.35,264245843
30/01/2015,8996.6,8996.6,8775.1,8808.9,275587957
02/02/2015,8802.5,8840.8,8751.1,8797.4,216556534
03/02/2015,8823.15,8837.3,8726.65,8756.55,208672175
04/02/2015,8789.15,8792.85,8704.4,8723.7,201252375
05/02/2015,8733.1,8838.45,8683.65,8711.7,179008853
06/02/2015,8696.85,8726.2,8645.55,8661.05,176554075
09/02/2015,8584.4,8605.55,8516.35,8526.35,151329604
10/02/2015,8478.1,8646.25,8470.5,8565.55,202294693
11/02/2015,8603.3,8651.95,8593.65,8627.4,166560867
12/02/2015,8676.95,8732.55,8599.25,8711.55,163681352
13/02/2015,8741.5,8822.1,8729.65,8805.5,228807812
16/02/2015,8831.4,8870.1,8793.4,8809.35,140637331
18/02/2015,8811.55,8894.3,8808.9,8869.1,152152801
19/02/2015,8883.05,8913.45,8794.45,8895.3,219867400
20/02/2015,8895.5,8899.95,8816.3,8833.6,203714864
23/02/2015,8856.85,8869,8736.1,8754.95,143932325
24/02/2015,8772.9,8800.5,8726.75,8762.1,154368611
25/02/2015,8801.9,8840.65,8751.4,8767.25,139406599
26/02/2015,8779,8786.05,8669.45,8683.85,224185492
27/02/2015,8729.5,8856.95,8717.45,8844.6,257226273
02/03/2015,8953.85,8972.35,8885.45,8956.75,224772586
03/03/2015,8962.85,9008.4,8925.55,8996.25,183251960
04/03/2015,9109.15,9119.2,8893.95,8922.65,256060375
05/03/2015,8929.4,8957.55,8849.35,8937.75,165081476
09/03/2015,8891.15,8891.3,8740.45,8756.75,160332840
10/03/2015,8769.75,8778,8677.35,8712.05,168916337
11/03/2015,8728.75,8755.6,8682.35,8699.95,178053293
12/03/2015,8740.65,8787.2,8732.9,8776,179337979
13/03/2015,8844.05,8849.75,8631.75,8647.75,184665971
16/03/2015,8656.75,8663.55,8612,8633.15,168438040
17/03/2015,8689.1,8742.55,8630.8,8723.3,182504639
18/03/2015,8742.9,8747.25,8664,8685.9,161153533
